popid,abbr,country,x1990,x2000,x2010,x2015,x2019,x2020,x2021,x2022
776,TON,Tonga,0.64,0.679,0.709,0.723,0.74,0.742,0.738,0.739
780,TTO,Trinidad and Tobago,0.656,0.708,0.785,0.812,0.813,0.815,0.804,0.814
784,ARE,United Arab Emirates,0.717,0.79,0.828,0.86,0.933,0.93,0.931,0.937
788,TUN,Tunisia,0.566,0.651,0.713,0.724,0.74,0.734,0.729,0.732
792,TUR,T??rkiye,0.598,0.669,0.75,0.821,0.842,0.835,0.841,0.855
795,TKM,Turkmenistan,,,0.699,0.725,0.732,0.731,0.74,0.744
798,TUV,Tuvalu,0.564,0.599,0.623,0.656,0.654,0.655,0.653,0.653
800,UGA,Uganda,0.329,0.392,0.5,0.525,0.544,0.545,0.545,0.55
804,UKR,Ukraine,0.731,0.698,0.766,0.764,0.774,0.762,0.755,0.734
807,MKD,North Macedonia,,0.676,0.746,0.777,0.787,0.766,0.764,0.765
818,EGY,Egypt,0.567,0.629,0.667,0.695,0.724,0.729,0.726,0.728
826,GBR,United Kingdom,0.804,0.863,0.913,0.923,0.933,0.92,0.931,0.94
834,TZA,"Tanzania, United Republic of",0.366,0.396,0.493,0.507,0.533,0.535,0.529,0.532
840,USA,United States of America,0.875,0.894,0.916,0.924,0.933,0.923,0.921,0.927
854,BFA,Burkina Faso,,0.296,0.372,0.413,0.446,0.446,0.445,0.438
858,URY,Uruguay,0.702,0.754,0.785,0.807,0.818,0.82,0.814,0.83
860,UZB,Uzbekistan,,0.603,0.675,0.701,0.725,0.716,0.721,0.727
862,VEN,Venezuela,0.657,0.699,0.759,0.766,0.72,0.691,0.69,0.699
882,WSM,Samoa,,0.672,0.704,0.71,0.712,0.712,0.708,0.702
887,YEM,Yemen,0.357,0.434,0.496,0.455,0.43,0.43,0.425,0.424
894,ZMB,Zambia,0.417,0.418,0.528,0.563,0.574,0.569,0.565,0.569
